timestamp,auto_state,duration_s,sample_count,avg_bus_voltage_v,avg_left_current_a,avg_right_current_a,avg_total_current_a,avg_left_power_w,avg_right_power_w,avg_total_power_w,energy_wh
2026-05-01T16:13:48,bench_tracking_f,3.527,3,25.383,0.867,-2.333,3.2,21.999,59.205,81.205,0.079568
2026-05-01T16:13:49,yaw_correction,0.987,1,25.48,-0.4,-0.9,1.3,10.192,22.932,33.124,0.00908
2026-05-01T16:13:55,align_center,5.7,6,25.412,-0.417,-1.9,2.483,14.825,48.268,63.092,0.099889
2026-05-01T16:14:03,aruco_centering,7.752,8,25.469,-1.213,-0.213,1.65,30.882,11.141,42.023,0.09049
2026-05-01T16:14:05,scan_start,2.415,2,25.505,-0.4,0.05,0.45,10.202,1.276,11.478,0.0077
2026-05-01T16:18:22,idle,256.963,257,25.507,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-04T12:05:52,manual,40.261,40,25.487,0.177,0.0,0.177,4.524,0.0,4.524,0.05059
2026-05-04T12:05:56,bench_tracking_f,4.287,4,25.352,1.0,-2.475,3.475,25.355,62.744,88.098,0.104921
2026-05-04T12:05:57,yaw_correction,0.519,1,25.41,-2.3,-1.4,3.7,58.443,35.574,94.017,0.01355
2026-05-04T12:06:03,align_center,6.228,6,25.42,-0.433,-2.183,2.683,12.714,55.496,68.21,0.118009
2026-05-04T12:06:11,aruco_centering,8.201,8,25.46,-1.5,-0.663,2.188,38.189,17.503,55.692,0.126877
2026-05-04T12:06:15,scan_start,3.711,4,25.485,-0.3,0.0,0.3,7.646,0.0,7.646,0.00788
2026-05-04T12:06:19,bench_tracking_b,3.886,4,25.483,-0.25,0.65,1.05,10.193,16.564,26.757,0.028879
2026-05-04T12:06:22,yaw_correction,3.251,3,25.447,1.7,1.1,2.8,43.254,27.992,71.246,0.064345
2026-05-04T12:06:28,align_center,5.855,6,25.475,0.117,0.483,1.067,14.86,12.309,27.169,0.044186
2026-05-04T12:06:32,aruco_centering,3.394,3,25.43,2.133,-0.667,2.8,54.249,16.952,71.201,0.067133
2026-05-04T12:06:36,scan_start,4.509,5,25.492,0.72,-0.26,0.98,18.354,6.628,24.982,0.031293
2026-05-04T12:22:09,idle,933.206,933,25.499,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-04T12:22:12,yaw_correction,2.59,2,25.445,-1.25,-1.25,2.5,31.823,31.785,63.608,0.045758
2026-05-04T12:22:18,align_center,5.694,6,25.435,-0.55,-1.467,2.05,14.821,37.29,52.111,0.082426
2026-05-04T12:22:21,aruco_centering,3.304,3,25.48,-0.6,-0.267,0.867,15.288,6.795,22.083,0.020268
2026-05-04T12:22:25,scan_start,4.271,5,25.492,-0.02,0.0,0.02,0.51,0.0,0.51,0.000605
2026-05-04T12:22:29,bench_tracking_f,4.077,4,25.465,0.775,-0.475,1.45,19.731,17.179,36.91,0.041804
2026-05-04T12:22:35,align_center,6.101,6,25.403,-0.567,-2.033,2.6,14.411,51.646,66.058,0.111957
2026-05-04T12:22:43,aruco_centering,7.348,7,25.46,-1.143,-0.9,2.043,29.102,22.908,52.009,0.106161
2026-05-04T12:22:47,scan_start,4.467,5,25.484,-0.12,-0.18,0.3,3.058,4.587,7.645,0.009487
2026-05-04T12:22:51,bench_tracking_f,4.082,4,25.355,0.625,-2.65,3.275,15.862,67.175,83.037,0.094153
2026-05-04T12:22:58,align_center,6.402,6,25.393,-0.8,-2.3,3.1,20.323,58.401,78.724,0.139998
2026-05-04T12:23:05,aruco_centering,7.747,8,25.438,-1.938,-0.85,2.788,49.287,21.62,70.907,0.152587
2026-05-04T12:23:09,scan_start,3.822,4,25.485,-0.55,0.0,0.55,14.017,0.0,14.017,0.01488
2026-05-04T12:23:13,bench_tracking_f,4.329,4,25.367,0.475,-2.45,2.925,12.075,62.119,74.194,0.089216
2026-05-04T12:23:14,yaw_correction,0.524,1,25.4,-2.9,-1.0,3.9,73.66,25.4,99.06,0.014424
2026-05-04T12:23:20,align_center,6.123,6,25.417,-1.117,-2.2,3.317,28.384,55.908,84.291,0.143356
